bill_no,date,day,customer,item,qty,rate,amount,payment_status,amount_paid
5016,20 Aug,Wed,Counter,Refined Oil 1L,5,140,700/-,paid,₹700
5061,08/04/2026,Sun,Cash,aata 10kg,2,420,840,Done,840
5062,20/08/2026,Sat,Cash,biscuit,1,30,30,Cash,30
5063,16-08-2026,Sat,Harish Chand,Sugar,1,48,48,Khata,0
5064,12 Sep,Fri,Walk-in,Mixture,1,55,55,paid,55
5065,08/03/2026,Fri,Cash,oil,2,140,280,Paid,280
5066,18 Sep,Wed,Walk-in,milk,1,66,66/-,Cash,₹66
5067,19/08/2026,Sun,Walk-in,Milk 1L,5,66,330,Cash,330/-
5068,27/08/2026,Sun,harish chand,Cheeni 1kg,3,48,144,Pending,0
5069,22/09/2026,Sun,Counter,Milk 1L,4,66,264,Paid,264
5070,17 Aug,Fri,Cash,Mixture,1,55,₹55,Paid,55
5071,11 Sep,Thu,neha gupta,Sugar 1kg,2,48,96,Pending,0
5072,26/08/2026,Sat,Cash,Refined Oil 1L,5,140,700,Done, 700 
5073,24/08/2026,Sun,Counter,Sugar 1kg,1,48,48,Done,48
5074,09/05/2026,Sat,Neha Gupta,Milk 1L,4,66,264,Paid,264
5075,26-8-26,Sun,Counter,namkeen,4,55,₹220,Done, 220 
5076,07/09/2026,Tue,Gurpreet Singh,Milk,3,66,198/-,Paid,198
5077,25/08/2026,Tue,Gurpreet Singh,Namkeen 200g,3,55,165,Cash,Rs 165
5078,2 Aug,Thu,,Namak,4,24,96,Paid,96
5079,9 Aug,Mon,Walk-in,Biscuits,5,30,150,Done,150
5080,03/09/2026,Sun,Counter,rice,1 pcs,390,390,Cash,390
5081,22/08/2026,Tue,Cash,Aata,1,420,420,Done, 420 
5082,26/08/2026,Fri,Baljit Singh,Dal 1kg,2,120,240/-,Udhaar,
5083,6 Aug,Tue,,namkeen,2,55,110,Paid,110
5084,28-08-2026,Thu,Sukhwinder Kaur,Sugar,1,48,48,Cash,₹48
5085,23/08/2026,Sun,Walk-in,Aata,1,420,,Paid,420/-
5086,08/16/2026,Tue,cash,Rice,2,390,₹780,Paid,780
5087,27/09/2026,Sat,Counter,Refined Oil,3,140,420,Paid,420
5088,03/09/2026,Sat,Harish Chand,Aata 10kg,5,420,2100/-,Paid,2100
5089,27-9-26,Mon,,Biscuits,1,30,30,Done,30
5090,26/08/2026,Sun,,Milk 1L,1,66,66,Paid,66
5091,06-08-2026,Mon,baljit singh,Milk 1L,3,66,198,Paid, 198 
5092,12/09/2026,Thu,Counter,milk,1,66,66,Done,Rs 66
5093,10/09/2026,Sun,Cash,Aata,1,420,420,Done,420
5094,19-08-2026,Sun,Manpreet Kaur,Aata,1,420,420,Credit,0
5095,11-08-2026,Fri,,namkeen,2,55,Rs 110,Paid,₹110
5096,09-08-2026,Fri,Walk-in,Milk 1L,1,66,66,Cash,66
5097,6-8-26,Sun,Walk-in,namkeen,5,55,275/-,Done,₹275
5098,6-9-26,Sun,Anil Sethi ,Chawal 5kg,1,390,390,Pending,0
5099,07-08-2026,Sat,,Sugar,,48,96,Done,96
5100,08/27/2026,Fri,Cash,Aata 10kg,1,420,,paid,420
5101,09-09-2026,Sun,,Sugar,1,48,,Paid,48/-
5102,16-08-2026,Tue,Walk-in,milk,4,66,264,Paid, 264 
5103,7-9-26,Sun,Cash,Rice,5,390,1950,paid,₹1950
5104,12/08/2026,Sat,cash,Aata,,420,840,paid,840/-
5105,27-8-26,Thu,harish chand,Parle-G,2,30,60,udhaar,
